system,n,pass_agree,ci_lo,ci_hi,precision,recall,f1,spearman_rho
DeepSeek-V4-Flash,1000,0.873,0.852,0.893,0.815,0.812,0.814,0.732
GPT-OSS-120B,1000,0.842,0.820,0.864,0.716,0.889,0.793,0.704
Gemma-4-31B,1000,0.801,0.776,0.826,0.640,0.953,0.766,0.741
DeepSeek + GPT-OSS,1000,0.878,0.859,0.897,0.852,0.777,0.813,—
DeepSeek + Gemma,1000,0.877,0.857,0.897,0.824,0.812,0.818,—
GPT-OSS + Gemma,1000,0.866,0.845,0.886,0.765,0.877,0.817,—
Majority vote (trio),1000,0.863,0.842,0.883,0.744,0.912,0.819,—
All-three-pass,1000,0.879,0.860,0.898,0.855,0.777,0.814,—
