model,model_config,model_id,n_trials,n_valid,n_correct,accuracy,acc_by_category,mean_gen_lat_s,median_gen_lat_s,mean_prompt_tokens,mean_completion_tokens,mean_reasoning_tokens,total_cost_usd,cost_per_run_usd,acc_pct_per_dollar,price_in_per_M,price_out_per_M,run_date,source_file,notes
kimi-k2.6,default,moonshotai/kimi-k2.6,12,10,10,1.0,"{""Algebra"": ""3/3"", ""Combinatorics"": ""1/1"", ""Geometry"": ""3/3"", ""Number theory"": ""3/3""}",641.0,429.8,221,27708,,0.9714,0.09714,1029.4,0.75,3.5,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,2 trials with error 'trial killed (hung in 49-min wall-clock cap)'
qwen3.6-max-preview,default,qwen/qwen3.6-max-preview,12,12,11,0.9167,"{""Algebra"": ""3/3"", ""Combinatorics"": ""2/3"", ""Geometry"": ""3/3"", ""Number theory"": ""3/3""}",656.1,658.8,255,27559,,2.0668,0.17224,532.2,1.04,6.24,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gemini-3.1-pro-preview,default,google/gemini-3.1-pro-preview,12,12,10,0.8333,"{""Algebra"": ""3/3"", ""Combinatorics"": ""1/3"", ""Geometry"": ""3/3"", ""Number theory"": ""3/3""}",174.4,172.1,197,20827,,3.0038,0.25032,332.9,2.0,12.0,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
gpt-5.4,default,openai/gpt-5.4,12,12,6,0.5,"{""Algebra"": ""2/3"", ""Combinatorics"": ""0/3"", ""Geometry"": ""1/3"", ""Number theory"": ""3/3""}",51.3,52.6,237,3555,,0.647,0.05392,927.3,2.5,15.0,2026-05-04,expensive_models_compare_20260504_20260505_012855_partial.json,
